name,count,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace
Krystyna,71,1.4080000000000001,95.775,0.0,1.4080000000000001,1.4080000000000001,0.0
Krzysztof,140,0.0,99.286,0.0,0.7140000000000001,0.0,0.0
Kulwant,34,2.9410000000000003,8.824,0.0,88.235,0.0,0.0
Kulwinder,37,0.0,10.811,0.0,81.081,8.107999999999999,0.0
Kumar,50,0.0,26.0,0.0,68.0,6.0,0.0
Kun,49,0.0,0.0,0.0,100.0,0.0,0.0
Kuo,22,0.0,0.0,0.0,100.0,0.0,0.0
Kurt,1674,0.239,97.90899999999999,0.956,0.777,0.0,0.11900000000000001
Kurtis,185,0.0,97.29700000000001,0.0,2.7030000000000003,0.0,0.0
Kwang,69,0.0,5.797000000000001,0.0,94.20299999999999,0.0,0.0
Kwok,56,0.0,0.0,0.0,100.0,0.0,0.0
Kwong,18,0.0,0.0,0.0,100.0,0.0,0.0
Ky,41,0.0,19.512,0.0,78.04899999999999,0.0,2.439
Kyaw,21,0.0,0.0,0.0,100.0,0.0,0.0
Kyla,44,0.0,100.0,0.0,0.0,0.0,0.0
Kyle,2487,0.36200000000000004,96.381,1.4069999999999998,1.568,0.121,0.161
Kylie,58,0.0,94.82799999999999,3.448,1.724,0.0,0.0
Kymberly,31,0.0,90.323,6.452000000000001,3.2260000000000004,0.0,0.0
Kyong,53,1.8869999999999998,9.434,1.8869999999999998,86.792,0.0,0.0
Kyra,62,0.0,83.87100000000001,12.902999999999999,3.2260000000000004,0.0,0.0
Kyu,34,0.0,0.0,0.0,100.0,0.0,0.0
Kyung,183,0.546,3.279,0.0,95.62799999999999,0.546,0.0
Lacey,170,0.0,98.235,1.765,0.0,0.0,0.0
Lacy,105,0.9520000000000001,90.476,7.619,0.0,0.9520000000000001,0.0
Ladonna,141,0.0,74.468,24.113000000000003,0.7090000000000001,0.0,0.7090000000000001
Lael,23,0.0,100.0,0.0,0.0,0.0,0.0
Lai,80,0.0,1.25,1.25,97.5,0.0,0.0
Laila,56,5.357,73.214,3.571,17.857,0.0,0.0
Laird,15,0.0,100.0,0.0,0.0,0.0,0.0
Lakisha,34,0.0,8.824,91.176,0.0,0.0,0.0
Lakshmi,71,2.8169999999999997,12.675999999999998,0.0,81.69,1.4080000000000001,1.4080000000000001
Lam,90,0.0,0.0,0.0,100.0,0.0,0.0
Lamar,75,0.0,72.0,26.666999999999998,0.0,0.0,1.3330000000000002
Lamont,71,0.0,49.29600000000001,49.29600000000001,1.4080000000000001,0.0,0.0
Lan,171,1.17,8.772,0.585,89.47399999999999,0.0,0.0
Lana,445,0.899,93.708,2.472,2.697,0.0,0.225
Lance,1254,1.196,93.22200000000001,2.073,2.951,0.39899999999999997,0.159
Landon,88,0.0,96.59100000000001,3.409,0.0,0.0,0.0
Lane,162,0.617,93.82700000000001,3.0860000000000003,1.235,0.0,1.235
Lanette,56,3.571,89.286,7.143,0.0,0.0,0.0
Lani,89,0.0,83.146,1.124,15.73,0.0,0.0
Lanny,89,2.247,89.88799999999999,2.247,5.617999999999999,0.0,0.0
Lara,323,2.167,95.975,0.619,0.929,0.31,0.0
Laraine,49,2.041,85.714,8.163,4.082,0.0,0.0
Larisa,121,1.653,97.521,0.0,0.826,0.0,0.0
Larissa,135,3.7039999999999997,87.40700000000001,4.444,4.444,0.0,0.0
Larry,6650,1.835,90.436,5.955,1.383,0.21100000000000002,0.18
Lars,108,0.9259999999999999,99.074,0.0,0.0,0.0,0.0
Larue,21,0.0,100.0,0.0,0.0,0.0,0.0
Larysa,19,0.0,100.0,0.0,0.0,0.0,0.0
Laszlo,53,0.0,98.113,0.0,1.8869999999999998,0.0,0.0
Latanya,32,0.0,3.125,96.875,0.0,0.0,0.0
Latasha,82,3.659,8.537,86.585,0.0,0.0,1.22
Latisha,40,2.5,32.5,65.0,0.0,0.0,0.0
Latonya,66,0.0,3.03,93.939,0.0,3.03,0.0
Latoya,93,4.301,4.301,91.398,0.0,0.0,0.0
Latrice,32,3.125,6.25,90.625,0.0,0.0,0.0
Launa,18,0.0,100.0,0.0,0.0,0.0,0.0
Laura,9518,5.5889999999999995,92.509,0.7559999999999999,0.872,0.13699999999999998,0.13699999999999998
Lauralee,22,0.0,100.0,0.0,0.0,0.0,0.0
Laureen,101,0.99,93.069,2.97,1.98,0.0,0.99
Laurel,579,0.518,96.2,1.554,1.036,0.345,0.345
Lauren,2286,0.9620000000000001,96.238,1.4,0.9620000000000001,0.175,0.262
Laurence,491,0.815,93.279,3.4619999999999997,2.24,0.204,0.0
Laurene,43,0.0,97.67399999999999,0.0,2.326,0.0,0.0
Laurent,49,0.0,87.755,8.163,4.082,0.0,0.0
Lauretta,42,2.381,95.238,2.381,0.0,0.0,0.0
Lauri,207,0.966,98.551,0.483,0.0,0.0,0.0
Laurie,2800,1.214,97.286,0.536,0.7140000000000001,0.107,0.14300000000000002
Laurin,20,0.0,100.0,0.0,0.0,0.0,0.0
Lauro,45,75.556,8.889,0.0,15.556,0.0,0.0
Lavern,52,0.0,75.0,25.0,0.0,0.0,0.0
Laverne,150,2.0,62.0,34.667,1.3330000000000002,0.0,0.0
Lavon,36,0.0,80.556,16.667,2.778,0.0,0.0
Lavonne,88,2.273,87.5,10.227,0.0,0.0,0.0
Lawanda,37,0.0,24.324,75.676,0.0,0.0,0.0
Lawrence,4581,2.205,90.854,4.191,2.489,0.109,0.153
Layne,78,0.0,94.87200000000001,0.0,5.127999999999999,0.0,0.0
Lazaro,75,89.333,4.0,0.0,5.332999999999999,1.3330000000000002,0.0
Le,83,0.0,13.253,1.205,85.542,0.0,0.0
Lea,264,2.273,88.258,1.515,7.955,0.0,0.0
Leah,1042,1.344,92.994,2.591,2.687,0.096,0.28800000000000003
Leandro,43,67.442,18.605,0.0,13.953,0.0,0.0
Leann,271,2.952,92.62,1.107,2.214,0.738,0.369
Leanna,100,2.0,89.0,3.0,6.0,0.0,0.0
Leanne,393,1.781,95.929,0.254,1.527,0.254,0.254
Lee,2497,0.961,90.30799999999999,4.445,4.165,0.08,0.04
Leeann,151,0.662,94.70200000000001,1.325,3.3110000000000004,0.0,0.0
Leena,50,2.0,36.0,0.0,62.0,0.0,0.0
Leesa,51,1.9609999999999999,96.07799999999999,1.9609999999999999,0.0,0.0,0.0
Lei,116,0.862,2.5860000000000003,0.0,96.552,0.0,0.0
Leif,90,1.111,97.77799999999999,0.0,0.0,0.0,1.111
Leigh,618,0.485,96.602,1.456,1.294,0.162,0.0
Leighton,39,0.0,64.10300000000001,25.641,10.255999999999998,0.0,0.0
Leila,163,6.135,74.847,6.135,12.883,0.0,0.0
Leilani,72,4.167,59.722,2.778,31.944000000000003,0.0,1.389
Leisa,67,0.0,94.03,5.97,0.0,0.0,0.0
Lela,63,3.175,73.016,23.81,0.0,0.0,0.0
Leland,249,0.402,91.165,2.41,6.024,0.0,0.0
Lelia,32,12.5,53.125,31.25,3.125,0.0,0.0
Len,49,0.0,73.469,8.163,18.367,0.0,0.0
Lena,287,4.181,74.21600000000001,11.498,9.408,0.6970000000000001,0.0
Lenard,33,0.0,81.818,9.091000000000001,9.091000000000001,0.0,0.0
Lenny,42,9.524,69.048,7.143,14.286,0.0,0.0
Lenora,111,2.7030000000000003,71.171,21.622,3.6039999999999996,0.9009999999999999,0.0
Lenore,166,3.012,91.566,4.217,1.205,0.0,0.0
Leo,810,6.667000000000001,80.988,4.321000000000001,7.778,0.12300000000000001,0.12300000000000001
Leobardo,45,100.0,0.0,0.0,0.0,0.0,0.0
Leon,693,3.175,72.872,19.048,4.185,0.5770000000000001,0.14400000000000002
Leona,180,1.6669999999999998,86.667,8.889,2.778,0.0,0.0
Leonard,1857,3.2310000000000003,87.291,7.001,2.1,0.10800000000000001,0.26899999999999996
Leonardo,257,65.37,21.401,0.389,12.84,0.0,0.0
Leonel,144,89.583,7.638999999999999,1.389,1.389,0.0,0.0
Leonid,148,1.351,97.973,0.0,0.6759999999999999,0.0,0.0
Leonor,77,74.02600000000001,14.286,1.2990000000000002,10.39,0.0,0.0
Leonora,59,10.169,44.068000000000005,8.475,37.288000000000004,0.0,0.0
Leopoldo,136,80.882,8.824,0.0,9.559,0.0,0.735
Leora,34,0.0,88.235,0.0,5.882000000000001,0.0,5.882000000000001
Leroy,621,4.026,69.082,24.96,0.966,0.483,0.483
Les,65,0.0,93.846,0.0,4.615,1.538,0.0
Lesa,150,0.0,94.0,5.332999999999999,0.0,0.667,0.0
Leslee,68,0.0,100.0,0.0,0.0,0.0,0.0
Lesley,438,2.055,91.324,3.425,2.283,0.457,0.457
Lesli,62,6.452000000000001,91.935,0.0,1.6130000000000002,0.0,0.0
Leslie,3964,1.791,92.634,3.633,1.615,0.151,0.177
Lesly,44,22.726999999999997,50.0,22.726999999999997,2.273,2.273,0.0
Lester,526,3.042,81.179,11.597000000000001,3.612,0.19,0.38
Leszek,36,0.0,97.22200000000001,0.0,2.778,0.0,0.0
Leta,53,0.0,96.226,1.8869999999999998,1.8869999999999998,0.0,0.0
Letha,44,0.0,86.36399999999999,13.636,0.0,0.0,0.0
Leticia,598,75.251,16.89,1.338,6.187,0.0,0.33399999999999996
Letitia,75,6.667000000000001,68.0,21.333000000000002,4.0,0.0,0.0
Levi,171,2.924,88.304,5.848,2.924,0.0,0.0
Levon,48,0.0,85.417,10.417,2.083,0.0,2.083
Lewis,695,0.863,90.21600000000001,6.763,1.7269999999999999,0.43200000000000005,0.0
Lex,17,0.0,100.0,0.0,0.0,0.0,0.0
Lezlie,35,0.0,97.14299999999999,0.0,2.8569999999999998,0.0,0.0
Li,300,0.667,1.3330000000000002,0.0,98.0,0.0,0.0
Lia,71,8.451,76.056,4.225,8.451,1.4080000000000001,1.4080000000000001
Liam,66,1.515,96.97,0.0,1.515,0.0,0.0
Lian,38,2.6319999999999997,7.895,2.6319999999999997,86.84200000000001,0.0,0.0
Liana,74,16.215999999999998,75.676,4.053999999999999,4.053999999999999,0.0,0.0
Liane,74,1.351,81.081,1.351,16.215999999999998,0.0,0.0
Liang,70,0.0,1.429,0.0,98.571,0.0,0.0
Lianne,43,0.0,88.37200000000001,0.0,11.628,0.0,0.0
Libby,55,3.636,96.36399999999999,0.0,0.0,0.0,0.0
Lida,53,11.321,77.358,0.0,11.321,0.0,0.0
Lidia,201,57.711000000000006,38.806,0.995,2.488,0.0,0.0
Liem,40,2.5,2.5,0.0,95.0,0.0,0.0
Lien,80,0.0,0.0,0.0,100.0,0.0,0.0
Liesl,31,0.0,100.0,0.0,0.0,0.0,0.0
Ligia,52,75.0,25.0,0.0,0.0,0.0,0.0
Lihua,19,0.0,0.0,0.0,100.0,0.0,0.0
Liisa,17,0.0,100.0,0.0,0.0,0.0,0.0
Lila,138,3.623,89.13,1.449,5.072,0.725,0.0
Lili,52,7.692,40.385,0.0,50.0,0.0,1.923
Lilia,202,56.43600000000001,26.238000000000003,1.485,15.347000000000001,0.0,0.495
Lilian,120,39.167,37.5,3.333,19.167,0.0,0.833
Liliana,176,71.59100000000001,26.705,0.0,1.136,0.568,0.0
Lilibeth,32,15.625,28.125,0.0,56.25,0.0,0.0
Liliya,38,0.0,94.73700000000001,2.6319999999999997,2.6319999999999997,0.0,0.0
Lillian,676,12.13,68.639,9.911,9.024,0.14800000000000002,0.14800000000000002
Lillie,122,0.82,41.803000000000004,55.738,1.639,0.0,0.0
Lilly,55,16.364,45.455,3.636,34.545,0.0,0.0
Lily,258,7.752000000000001,30.233,1.163,60.465,0.0,0.38799999999999996
Liming,22,0.0,0.0,0.0,100.0,0.0,0.0
Lin,126,0.0,11.905,0.0,87.302,0.0,0.794
Lina,198,20.202,50.0,1.515,28.283,0.0,0.0
Lincoln,108,4.63,68.51899999999999,16.667,10.185,0.0,0.0
Linda,16217,2.097,92.67399999999999,3.114,1.899,0.08,0.136
Lindsay,1050,0.47600000000000003,98.0,0.857,0.47600000000000003,0.0,0.19
Lindsey,916,0.764,96.07,1.092,1.7469999999999999,0.109,0.218
Lindy,85,0.0,91.765,0.0,8.235,0.0,0.0
Linette,38,5.263,86.84200000000001,7.895,0.0,0.0,0.0
Ling,95,1.053,2.105,0.0,96.84200000000001,0.0,0.0
Linh,163,0.0,4.294,0.0,95.706,0.0,0.0
Linnea,61,3.279,95.08200000000001,0.0,0.0,0.0,1.639
Lino,50,66.0,30.0,0.0,4.0,0.0,0.0
Linsey,34,2.9410000000000003,88.235,2.9410000000000003,5.882000000000001,0.0,0.0
Linwood,52,1.923,50.0,48.077,0.0,0.0,0.0
Lionel,158,11.392000000000001,55.063,26.581999999999997,5.696000000000001,0.633,0.633
Lior,20,0.0,100.0,0.0,0.0,0.0,0.0
Lisa,14621,2.127,93.639,2.346,1.662,0.109,0.11599999999999999
Lisandro,15,100.0,0.0,0.0,0.0,0.0,0.0
Lisbeth,45,22.221999999999998,73.333,4.444,0.0,0.0,0.0
Lise,55,1.818,92.727,5.455,0.0,0.0,0.0
Lisette,61,47.541000000000004,47.541000000000004,0.0,4.918,0.0,0.0
Lissa,46,6.522,91.304,0.0,2.174,0.0,0.0
Lissette,41,78.04899999999999,21.951,0.0,0.0,0.0,0.0
Lita,40,7.5,50.0,5.0,35.0,0.0,2.5
Liv,16,0.0,100.0,0.0,0.0,0.0,0.0
Livia,34,23.529,70.58800000000001,2.9410000000000003,2.9410000000000003,0.0,0.0
Liviu,19,0.0,100.0,0.0,0.0,0.0,0.0
Lixin,24,0.0,0.0,0.0,100.0,0.0,0.0
Liz,43,39.535,53.488,0.0,6.977,0.0,0.0
Liza,170,11.765,66.471,2.9410000000000003,18.235,0.0,0.588
Lizabeth,82,7.317,91.463,0.0,1.22,0.0,0.0
Lizbeth,53,43.396,56.604,0.0,0.0,0.0,0.0
Lizette,46,63.043,28.261,4.348,4.348,0.0,0.0
Ljiljana,20,0.0,100.0,0.0,0.0,0.0,0.0
Lloyd,773,0.647,85.64,10.22,3.364,0.0,0.129
Loan,81,0.0,4.938,0.0,95.06200000000001,0.0,0.0
Loc,91,1.099,1.099,0.0,97.802,0.0,0.0
Logan,138,0.0,94.20299999999999,2.8989999999999996,1.449,0.0,1.449
Loi,47,2.128,2.128,0.0,93.617,2.128,0.0
Lois,1325,0.528,92.755,5.2829999999999995,1.208,0.075,0.151
Lola,166,5.422000000000001,72.289,19.88,1.205,0.602,0.602
Lolita,99,10.101,24.241999999999997,24.241999999999997,41.413999999999994,0.0,0.0
Lon,147,0.68,91.837,2.041,5.442,0.0,0.0
Lona,47,2.128,93.617,0.0,2.128,0.0,2.128
Long,185,1.081,0.541,0.0,97.838,0.0,0.541
Loni,38,0.0,97.368,2.6319999999999997,0.0,0.0,0.0
Lonna,34,0.0,97.059,2.9410000000000003,0.0,0.0,0.0
Lonnie,516,0.775,87.40299999999999,10.465,0.775,0.38799999999999996,0.19399999999999998
Lonny,60,0.0,100.0,0.0,0.0,0.0,0.0
Lora,421,1.425,94.537,2.85,0.475,0.475,0.23800000000000002
Loraine,105,3.81,80.952,12.380999999999998,2.8569999999999998,0.0,0.0
Loree,47,0.0,100.0,0.0,0.0,0.0,0.0
Loreen,46,4.348,86.95700000000001,4.348,4.348,0.0,0.0
Lorelei,63,1.587,87.302,3.175,7.937,0.0,0.0
Loren,493,1.8259999999999998,94.726,1.6230000000000002,1.42,0.203,0.203
Lorena,388,71.134,26.289,0.515,1.546,0.515,0.0
Lorene,113,0.885,92.035,6.195,0.885,0.0,0.0
Lorenza,33,60.606,9.091000000000001,24.241999999999997,6.061,0.0,0.0
Lorenzo,277,53.43,21.3,18.773,6.1370000000000005,0.361,0.0
Loreto,40,37.5,30.0,0.0,32.5,0.0,0.0
Loretta,957,3.344,86.416,8.15,1.567,0.10400000000000001,0.418
Lori,5694,0.8079999999999999,96.962,0.79,1.194,0.14,0.105
Loriann,51,1.9609999999999999,98.039,0.0,0.0,0.0,0.0
Lorie,269,2.602,91.822,3.717,1.4869999999999999,0.0,0.37200000000000005
Lorilee,28,0.0,100.0,0.0,0.0,0.0,0.0
Lorin,82,1.22,93.902,0.0,3.659,1.22,0.0
Lorinda,48,4.167,89.583,4.167,2.083,0.0,0.0
Lorna,330,1.212,74.242,11.212,12.424000000000001,0.606,0.303
Lorne,44,0.0,88.63600000000001,9.091000000000001,2.273,0.0,0.0
Lorraine,1451,4.824,87.181,5.513,2.205,0.138,0.138
Lorri,120,1.6669999999999998,95.833,2.5,0.0,0.0,0.0
Lorrie,211,1.896,95.735,0.948,1.422,0.0,0.0
Lory,37,5.405,89.189,0.0,2.7030000000000003,0.0,2.7030000000000003
Lottie,30,0.0,66.667,30.0,0.0,3.333,0.0
Lou,205,1.463,90.73200000000001,3.415,3.9019999999999997,0.488,0.0
Louann,74,1.351,97.29700000000001,0.0,1.351,0.0,0.0
Louanne,26,0.0,100.0,0.0,0.0,0.0,0.0
Louella,35,2.8569999999999998,57.143,17.143,22.857,0.0,0.0
Louie,115,30.435,52.174,4.348,10.435,2.609,0.0
Louis,2570,7.938,84.008,5.252999999999999,2.49,0.272,0.039
Louisa,89,0.0,75.281,4.494,20.225,0.0,0.0
Louise,1026,1.949,89.084,6.433,2.0469999999999997,0.0,0.48700000000000004
Lourdes,384,61.979,20.573,1.5630000000000002,15.625,0.0,0.26
Lowell,240,0.0,97.083,2.083,0.833,0.0,0.0
Loyd,51,0.0,96.07799999999999,1.9609999999999999,1.9609999999999999,0.0,0.0
Lu,54,0.0,51.852,0.0,48.148,0.0,0.0
Luan,38,2.6319999999999997,39.474000000000004,0.0,57.895,0.0,0.0
Luana,36,8.333,83.333,0.0,8.333,0.0,0.0
Luann,206,0.971,98.05799999999999,0.0,0.971,0.0,0.0
Luanne,136,0.735,97.059,0.0,2.206,0.0,0.0
Luc,38,0.0,60.526,10.526,28.947,0.0,0.0
Luca,30,6.667000000000001,93.333,0.0,0.0,0.0,0.0
Lucas,444,7.6579999999999995,90.315,0.225,1.577,0.225,0.0
Lucia,339,43.658,46.608000000000004,2.36,7.375,0.0,0.0
Lucian,34,0.0,94.118,0.0,5.882000000000001,0.0,0.0
Luciana,42,21.429000000000002,66.667,4.762,7.143,0.0,0.0
Luciano,94,54.255,39.361999999999995,0.0,5.319,1.064,0.0
Lucie,43,2.326,83.721,6.977,6.977,0.0,0.0
Lucien,42,2.381,85.714,7.143,4.762,0.0,0.0
Lucila,63,82.54,6.349,0.0,11.110999999999999,0.0,0.0
Lucille,461,6.941,81.562,9.328,1.952,0.217,0.0
Lucinda,306,3.2680000000000002,89.542,4.575,2.2880000000000003,0.0,0.327
Lucio,80,83.75,13.75,0.0,2.5,0.0,0.0
Lucretia,41,2.439,78.04899999999999,19.512,0.0,0.0,0.0
Lucy,595,15.294,68.908,5.377999999999999,9.748,0.672,0.0
Lucyna,20,0.0,100.0,0.0,0.0,0.0,0.0
Ludmila,33,3.03,96.97,0.0,0.0,0.0,0.0
Luigi,94,3.1910000000000003,96.809,0.0,0.0,0.0,0.0
Luis,2698,87.398,11.008,0.111,1.446,0.037000000000000005,0.0
Luisa,150,58.667,30.666999999999998,2.667,8.0,0.0,0.0
Luiz,33,48.485,48.485,0.0,0.0,3.03,0.0
Lukas,29,0.0,100.0,0.0,0.0,0.0,0.0
Lukasz,33,0.0,100.0,0.0,0.0,0.0,0.0
Luke,672,0.893,94.04799999999999,0.595,4.167,0.149,0.149
Lula,73,2.74,45.205,52.055,0.0,0.0,0.0
Lupe,119,78.992,21.008000000000003,0.0,0.0,0.0,0.0
Luther,146,0.685,69.863,29.451999999999998,0.0,0.0,0.0
Luz,519,82.46600000000001,9.827,0.193,7.322,0.193,0.0
Ly,53,0.0,1.8869999999999998,0.0,98.113,0.0,0.0
Lydia,687,20.087,65.357,6.987,7.4239999999999995,0.146,0.0
Lyle,378,0.794,96.561,0.794,1.587,0.0,0.265
Lyman,44,0.0,95.455,4.545,0.0,0.0,0.0
Lyn,129,0.0,94.574,0.0,4.651,0.0,0.775
Lynda,1023,1.662,93.06,3.2260000000000004,1.564,0.196,0.293
Lyndon,53,1.8869999999999998,69.811,13.208,15.094000000000001,0.0,0.0
Lyndsay,45,2.222,97.77799999999999,0.0,0.0,0.0,0.0
Lyndsey,45,2.222,93.333,2.222,0.0,2.222,0.0
Lynette,551,2.178,87.11399999999999,7.26,3.448,0.0,0.0
Lynn,3651,0.9309999999999999,94.412,1.6159999999999999,2.821,0.16399999999999998,0.055
Lynne,1173,0.682,96.76,1.364,1.1079999999999999,0.0,0.085
Lynnette,177,2.825,88.70100000000001,4.52,2.825,0.0,1.13
